ID	Symbol	Name	Gene Groups
2515	ADAM2	ADAM metallopeptidase domain 2	ADAM metallopeptidase domain containing
8756	ADAM7	ADAM metallopeptidase domain 7	ADAM metallopeptidase domain containing
101	ADAM8	ADAM metallopeptidase domain 8	ADAM metallopeptidase domain containing, CD molecules
8754	ADAM9	ADAM metallopeptidase domain 9	ADAM metallopeptidase domain containing
102	ADAM10	ADAM metallopeptidase domain 10	ADAM metallopeptidase domain containing, CD molecules
4185	ADAM11	ADAM metallopeptidase domain 11	ADAM metallopeptidase domain containing
8038	ADAM12	ADAM metallopeptidase domain 12	ADAM metallopeptidase domain containing
8751	ADAM15	ADAM metallopeptidase domain 15	ADAM metallopeptidase domain containing
6868	ADAM17	ADAM metallopeptidase domain 17	ADAM metallopeptidase domain containing, CD molecules
8749	ADAM18	ADAM metallopeptidase domain 18	ADAM metallopeptidase domain containing
8728	ADAM19	ADAM metallopeptidase domain 19	ADAM metallopeptidase domain containing
8748	ADAM20	ADAM metallopeptidase domain 20	ADAM metallopeptidase domain containing
8747	ADAM21	ADAM metallopeptidase domain 21	ADAM metallopeptidase domain containing
53616	ADAM22	ADAM metallopeptidase domain 22	ADAM metallopeptidase domain containing
8745	ADAM23	ADAM metallopeptidase domain 23	ADAM metallopeptidase domain containing
10863	ADAM28	ADAM metallopeptidase domain 28	ADAM metallopeptidase domain containing
11086	ADAM29	ADAM metallopeptidase domain 29	ADAM metallopeptidase domain containing
11085	ADAM30	ADAM metallopeptidase domain 30	ADAM metallopeptidase domain containing
203102	ADAM32	ADAM metallopeptidase domain 32	ADAM metallopeptidase domain containing
80332	ADAM33	ADAM metallopeptidase domain 33	ADAM metallopeptidase domain containing
27299	ADAMDEC1	ADAM like decysin 1	
9510	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1	ADAM metallopeptidases with thrombospondin type 1 motif
9509	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2	ADAM metallopeptidases with thrombospondin type 1 motif
9508	ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3	ADAM metallopeptidases with thrombospondin type 1 motif
9507	ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4	ADAM metallopeptidases with thrombospondin type 1 motif
11096	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5	ADAM metallopeptidases with thrombospondin type 1 motif
11174	ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6	ADAM metallopeptidases with thrombospondin type 1 motif
11173	ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7	ADAM metallopeptidases with thrombospondin type 1 motif
11095	ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8	ADAM metallopeptidases with thrombospondin type 1 motif
56999	ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9	ADAM metallopeptidases with thrombospondin type 1 motif
81794	ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif 10	ADAM metallopeptidases with thrombospondin type 1 motif
81792	ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12	ADAM metallopeptidases with thrombospondin type 1 motif
11093	ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	ADAM metallopeptidases with thrombospondin type 1 motif
140766	ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14	ADAM metallopeptidases with thrombospondin type 1 motif
170689	ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif 15	ADAM metallopeptidases with thrombospondin type 1 motif
170690	ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16	ADAM metallopeptidases with thrombospondin type 1 motif
170691	ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif 17	ADAM metallopeptidases with thrombospondin type 1 motif
170692	ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif 18	ADAM metallopeptidases with thrombospondin type 1 motif
171019	ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif 19	ADAM metallopeptidases with thrombospondin type 1 motif
80070	ADAMTS20	ADAM metallopeptidase with thrombospondin type 1 motif 20	ADAM metallopeptidases with thrombospondin type 1 motif
92949	ADAMTSL1	ADAMTS like 1	ADAMTS like, MicroRNA protein coding host genes, I-set domain containing
9719	ADAMTSL2	ADAMTS like 2	ADAMTS like
57188	ADAMTSL3	ADAMTS like 3	Immunoglobulin like domain containing, ADAMTS like, I-set domain containing
54507	ADAMTSL4	ADAMTS like 4	ADAMTS like, MicroRNA protein coding host genes
339366	ADAMTSL5	ADAMTS like 5	ADAMTS like
11033	ADAP1	ArfGAP with dual PH domains 1	Pleckstrin homology domain containing, ArfGAPs
55803	ADAP2	ArfGAP with dual PH domains 2	Pleckstrin homology domain containing, ArfGAPs
103	ADAR	adenosine deaminase RNA specific	Adenosine deaminases acting on RNA
104	ADARB1	adenosine deaminase RNA specific B1	Adenosine deaminases acting on RNA
105	ADARB2	adenosine deaminase RNA specific B2 (inactive)	Adenosine deaminases acting on RNA
23536	ADAT1	adenosine deaminase tRNA specific 1	Adenosine deaminases acting on RNA
134637	ADAT2	adenosine deaminase tRNA specific 2	Adenosine deaminases acting on RNA
113179	ADAT3	adenosine deaminase tRNA specific 3	Adenosine deaminases acting on RNA
57143	ADCK1	aarF domain containing kinase 1	
90956	ADCK2	aarF domain containing kinase 2	
203054	ADCK5	aarF domain containing kinase 5	
107	ADCY1	adenylate cyclase 1	Adenylate cyclases
108	ADCY2	adenylate cyclase 2	Adenylate cyclases
109	ADCY3	adenylate cyclase 3	Adenylate cyclases
196883	ADCY4	adenylate cyclase 4	Adenylate cyclases
111	ADCY5	adenylate cyclase 5	Adenylate cyclases
112	ADCY6	adenylate cyclase 6	Adenylate cyclases, MicroRNA protein coding host genes
113	ADCY7	adenylate cyclase 7	Adenylate cyclases, MicroRNA protein coding host genes
114	ADCY8	adenylate cyclase 8	Adenylate cyclases
115	ADCY9	adenylate cyclase 9	Adenylate cyclases
55811	ADCY10	adenylate cyclase 10	Adenylate cyclases
116	ADCYAP1	adenylate cyclase activating polypeptide 1	Neuropeptides
117	ADCYAP1R1	ADCYAP receptor type I	Vasoactive intestinal peptide family receptors 
118	ADD1	adducin 1	Adducin family
119	ADD2	adducin 2	Adducin family
120	ADD3	adducin 3	Adducin family
79747	ADGB	androglobin	Calpains
84435	ADGRA1	adhesion G protein-coupled receptor A1	Adhesion G protein-coupled receptors, subfamily A
25960	ADGRA2	adhesion G protein-coupled receptor A2	Immunoglobulin like domain containing, Adhesion G protein-coupled receptors, subfamily A
166647	ADGRA3	adhesion G protein-coupled receptor A3	Adhesion G protein-coupled receptors, subfamily A, I-set domain containing
575	ADGRB1	adhesion G protein-coupled receptor B1	Adhesion G protein-coupled receptors, subfamily B
576	ADGRB2	adhesion G protein-coupled receptor B2	Adhesion G protein-coupled receptors, subfamily B, MicroRNA protein coding host genes
577	ADGRB3	adhesion G protein-coupled receptor B3	Adhesion G protein-coupled receptors, subfamily B
283383	ADGRD1	adhesion G protein-coupled receptor D1	Adhesion G protein-coupled receptors, subfamily D
347088	ADGRD2	adhesion G protein-coupled receptor D2	Adhesion G protein-coupled receptors, subfamily D
2015	ADGRE1	adhesion G protein-coupled receptor E1	Adhesion G protein-coupled receptors, subfamily E
30817	ADGRE2	adhesion G protein-coupled receptor E2	Adhesion G protein-coupled receptors, subfamily E, CD molecules
84658	ADGRE3	adhesion G protein-coupled receptor E3	Adhesion G protein-coupled receptors, subfamily E
976	ADGRE5	adhesion G protein-coupled receptor E5	Adhesion G protein-coupled receptors, subfamily E, CD molecules
266977	ADGRF1	adhesion G protein-coupled receptor F1	Adhesion G protein-coupled receptors, subfamily F
165082	ADGRF3	adhesion G protein-coupled receptor F3	Adhesion G protein-coupled receptors, subfamily F
221393	ADGRF4	adhesion G protein-coupled receptor F4	Adhesion G protein-coupled receptors, subfamily F
221395	ADGRF5	adhesion G protein-coupled receptor F5	Immunoglobulin like domain containing, Adhesion G protein-coupled receptors, subfamily F, I-set domain containing
9289	ADGRG1	adhesion G protein-coupled receptor G1	Adhesion G protein-coupled receptors, subfamily G
10149	ADGRG2	adhesion G protein-coupled receptor G2	Adhesion G protein-coupled receptors, subfamily G
222487	ADGRG3	adhesion G protein-coupled receptor G3	Adhesion G protein-coupled receptors, subfamily G
139378	ADGRG4	adhesion G protein-coupled receptor G4	Adhesion G protein-coupled receptors, subfamily G
221188	ADGRG5	adhesion G protein-coupled receptor G5	Adhesion G protein-coupled receptors, subfamily G
57211	ADGRG6	adhesion G protein-coupled receptor G6	Adhesion G protein-coupled receptors, subfamily G
84873	ADGRG7	adhesion G protein-coupled receptor G7	Adhesion G protein-coupled receptors, subfamily G
22859	ADGRL1	adhesion G protein-coupled receptor L1	Olfactomedin domain containing , Adhesion G protein-coupled receptors, subfamily L
23266	ADGRL2	adhesion G protein-coupled receptor L2	Olfactomedin domain containing , Adhesion G protein-coupled receptors, subfamily L
